AQC00914000       21392R
USC00145039        3433S
USC00145063        3365S
USC00145069        3611S
USC00145115        2332R
USC00145127        2175C
USC00145132        3660S
USC00145152        3279S
USC00145171        2229R
USC00145173        2883R
USC00145210        3947R
USC00145306        3294S
USC00145321        3762Q
USC00145335        3116S
USC00145355        1946S
USC00145363        3109R
USC00145421        2169R
USC00145463        4241S
USC00145483        2242R
USC00145528        4321R
USC00145536        4561R
USC00145539        3283S
USC00145628        2629S
USC00145632        4489Q
USC00145692        2226R
USC00145744        3245S
USC00145768        2937R
USC00145787        2109R
USC00145852        2584R
USC00145856        2278S
USC00145863        2854Q
USC00145870        3193R
USC00145888        2007R
USC00145892        1938R
USC00145906        2252S
USC00145920        2397S
USC00145972        4186S
USC00146014        3439R
USC00146076        3997R
USC00146084        3942S
USC00146088        2641R
USC00146100        3903R
USC00146115        4516C
USC00146128        4030S
USC00146154        3917R
USC00146169        3620R
USC00146192        2415R
USC00146209        4237S
USC00146217        3205S
USC00146242        4297R
USC00146292        3485Q
USC00146305        3554S
USC00146333        3918R
USC00146340        3264R
USC00146378        2542R
USC00146414        4689R
USC00146435        2543R
USC00146498        3949R
USC00146524        3606R
USC00146549        2794R
USC00146573        3207Q
USC00146637        2362R
USC00146679        3172R
USC00146685        2171S
USC00146725        3840R
USC00146787        2149S
USC00146808        1784R
USC00146813        1692S
USC00146907        3929Q
USC00146979        3727S
USC00147007        3721S
USC00147049        1854R
USC00147050        1712R
USC00147075        3642R
USC00147093        1802S
USC00147095        1866S
USC00147140        2345S
USC00147192        2388Q
USC00147248        2882R
USC00147271        2015S
USC00147305        4186S
USC00147313        3218R
USC00147397        1977S
USC00147407        4071Q
USC00147534        3905R
USC00147542        2571C
USC00147551        3116Q
USC00147796        2930S
USC00147809        4269S
USC00147832        2447R
USC00147904        2092R
USC00147922        1842S
USC00147965        3010Q
USC00147968        2791R
USC00148026        2859Q
USC00148038        1682S
USC00148061        3572Q
USC00148086        3008S
USC00148114        3740R
USC00148156        3921S
USC00148235        1790S
USC00148240        1889Q
USC00148245        2663S
USC00148250        3723S
USC00148257        2868R
USC00148259        3295R
USC00148287        1726S
USC00148293        4423R
USC00148323        2287S
USC00148341        3866S
USC00148495        2367S
USC00148498        2175S
USC00148503        3169R
USC00148535        2000Q
USC00148549        4604S
USC00148563        3447S
USC00148578        3288S
USC00148648        2440R
USC00148670        3470S
USC00148802        3468S
USC00148892        4065R
USC00148911        3302R
USC00148914        2599R
USC00148935        3753Q
USC00148946        2603R
USC00148950        3098Q
USC00148964        4022S
USC00148988        1895R
USC00149020        3648Q
USC00149026        3396R
USC00149040        3917R
USC00149080        4308R
USC00149202        3132Q
USC00150012        5351S
USC00150063        5255R
USC00150254        4413R
USC00150381        5076S
USC00150397        4979R
USC00150402        5380R
USC00150422        5122S
USC00150450        4939S
USC00150483        4824Q
USC00150490        4954R
USC00150619        4716R
USC00150630        4851R
USC00150700        4945S
USC00150804        4640R
USC00150858        4984Q
USC00150860        4853Q
USC00150875        4534S
USC00150904        5243R
USC00150906        4814R
USC00150940        5086S
USC00150955        4940Q
USC00151080        4771R
USC00151090        4688R
USC00151120        4514R
USC00151137        4978R
USC00151208        5242Q
USC00151210        5267R
USC00151227        4427S
USC00151251        4762Q
USC00151294        5247R
USC00151306        5186R
USC00151318        4410R
USC00151391        5025R
USC00151517        4383Q
USC00151640        5773S
USC00151725        4961S
USC00151727        4932R
USC00151810        5117Q
USC00151890        4653R
USC00151895        4871Q
USC00151900        5000R
USC00151927        5235Q
USC00151948        5159Q
USC00151965        4436R
USC00151998        4315R
USC00152040        4637S
USC00152072        4956S
USC00152214        4314R
USC00152250        4081R
USC00152358        4840R
USC00152366        5247R
USC00152409        4683R
USC00152442        5128Q
USC00152500        4583R
USC00152512        5082R
USC00152548        5116R
USC00152575        5397Q
USC00152775        4141R
USC00152791        4737S
USC00152825        4403R
USC00152903        4728Q
USC00153006        5174R
USC00153030        4759R
USC00153052        5121R
USC00153112        5219R
USC00153194        4440R
USC00153203        4396R
USC00153223        5124R
USC00153230        4606Q
USC00153246        5287S
USC00153252        5036S
USC00153382        4791R
USC00153389        4434R
USC00153391        4343R
USC00153398        4471S
USC00153430        5155S
USC00153435        5034R
USC00153629        4974Q
USC00153712        4403R
USC00153714        4883R
USC00153741        4813R
USC00153744        4819Q
USC00153762        4479R
USC00153768        4512R
USC00153798        5217Q
USC00153929        5041Q
USC00153994        5107R
USC00154138        4550Q
USC00154208        5261R
USC00154369        4790S
USC00154375        5452Q
USC00154620        4670R
USC00154703        4861R
USC00154732        4660R
USC00154755        5268R
USC00154848        3864S
USC00154857        4669R
USC00154905        4940R
USC00154946        4322R
USC00154948        4461Q
USC00154955        4326S
USC00154958        4849Q
USC00154967        4904R
USC00155067        4920S
USC00155072        4868R
USC00155097        5218R
USC00155111        5041R
USC00155165        5310Q
USC00155175        4457R
USC00155235        5218R
USC00155243        4602R
USC00155370        4527R
USC00155389        4989Q
USC00155444        4991Q
USC00155524        4997S
USC00155559        4561R
USC00155640        4554R
USC00155648        4915S
USC00155694        5559S
USC00155757        5286Q
USC00155834        5118R
USC00156012        4516Q
USC00156028        4909R
USC00156091        4778R
USC00156094        4459R
USC00156117        4728R
USC00156136        4328R
USC00156155        4803R
USC00156170        4785S
USC00156360        4294R
USC00156379        5147R
USC00156495        4429Q
USC00156580        5109S
USC00156595        4492R
USC00156624        4634Q
USC00156810        4514R
USC00156882        4872R
USC00156988        4877S
USC00157049        5073Q
USC00157134        4553R
USC00157215        5180R
USC00157234        4595S
USC00157300        5094Q
USC00157324        4733R
USC00157334        4609R
USC00157431        4693S
USC00157441        4940R
USC00157508        4979R
USC00157510        5012R
USC00157592        4029Q
USC00157604        4699S
USC00157648        4874R
USC00157652        4813Q
USC00157677        5241R
USC00157800        4868S
USC00158070        5231R
USC00158348        4353R
USC00158432        4507Q
USC00158446        4473R
USC00158551        4482R
USC00158555        5021Q
USC00158709        5006R
USC00158714        4457R
USC00158824        4999S
USC00160007        6177S
USC00160012        6404Q
USC00160016        5950R
USC00160021        6471S
USC00160098        6086S
USC00160103        5936R
USC00160205        6317S
USC00160238        5882R
USC00160277        5575Q
USC00160349        5572S
USC00160462        6259S
USC00160537        5731R
USC00160546        6414R
USC00160548        6480R
USC00160558        6429C
USC00160565        5940S
USC00160617        6345S
USC00160658        6218Q
USC00160718        5347Q
USC00160800        6008S
USC00160945        6253R
USC00161232        5884S
USC00161235        6190R
USC00161246        6195R
USC00161287        6081S
USC00161365        6043R
USC00161411        5539S
USC00161535        6333R
USC00161565        5949S
USC00161866        5872Q
USC00161891        6066R
USC00161899        6018S
USC00161941        5861R
USC00161979        5867S
USC00162002        6390R
USC00162121        5300S
USC00162145        5354R
USC00162151        6207S
USC00162212        6107S
USC00162350        6196S
USC00162361        6169R
USC00162367        6407S
USC00162534        6160S
USC00162536        6246Q
USC00162641        5993R
USC00162800        6255R
USC00162812        6323R
USC00162981        5942S
USC00163079        5913Q
USC00163165        6467R
USC00163313        6430S
USC00163322        6502R
USC00163327        6173R
USC00163331        6285R
USC00163433        6399S
USC00163695        6283S
USC00163741        5867R
USC00163800        6117S
USC00163804        5461R
USC00163807        5941R
USC00163829        6250R
USC00163867        6464R
USC00163877        5644R
USC00163979        5800R
USC00164030        6264S
USC00164034        6290R
USC00164050        5480R
USC00164131        5534Q
USC00164288        5800R
USC00164355        5588S
USC00164398        5000S
USC00164407        6225R
USC00164573        6326Q
USC00164592        5428R
USC00164674        6299S
USC00164696        5968R
USC00164700        6044S
USC00164732        5673S
USC00164739        5781S
USC00164775        5906R
USC00164816        5301S
USC00164859        6365R
USC00165021        6095R
USC00165065        6264Q
USC00165072        6242Q
USC00165074        5919S
USC00165076        6337R
USC00165090        5732S
USC00165146        5940Q
USC00165266        5766S
USC00165287        6174R
USC00165296        6230R
USC00165430        6280R
USC00165438        6335S
USC00165522        5301R
USC00165527        5200R
USC00165610        5957R
USC00165620        5914S
USC00165624        6389R
USC00165630        5996S
USC00165783        6126R
USC00165874        5199R
USC00165892        5462S
USC00165896        5261R
USC00165908        5543R
USC00165926        6516Q
USC00165935        5933R
USC00166244        5541S
USC00166314        5674R
USC00166364        5009S
USC00166394        6026S
USC00166431        6800R
USC00166434        6395Q
USC00166466        6197R
USC00166582        5551S
USC00166584        5741Q
USC00166657        6040R
USC00166666        6658R
USC00166686        5876S
USC00166836        6196S
USC00166866        5574S
USC00166868        5629R
USC00166911        6380S
USC00166938        6369S
USC00166968        6273Q
USC00166978        5873R
USC00166995        6415S
USC00167096        6451S
USC00167304        7058S
USC00167312        5626Q
USC00167344        5301R
USC00167366        5943S
USC00167425        6180R
USC00167448        6272S
USC00167691        5788R
USC00167729        4906R
USC00167732        5757R
USC00167738        5175S
USC00167767        6434S
USC00167924        5405R
USC00167932        5951R
USC00168046        5938S
USC00168067        5479S
USC00168094        5517R
USC00168108        6187R
USC00168136        6262S
USC00168139        5833R
USC00168163        5646S
USC00168181        6462R
USC00168405        6963R
USC00168436        5266S
USC00168444        5452Q
USC00168448        5157Q
USC00168539        6289S
USC00168543        6125R
USC00168669        5668R
USC00168785        5452R
USC00168831        6421S
USC00168861        6104R
USC00168906        6218Q
USC00168923        5630S
USC00168941        6726R
USC00169013        7096R
USC00169074        5564Q
USC00169357        5807R
USC00169369        5910R
USC00169392        5002R
USC00169480        6344R
USC00169631        5467R
USC00169803        5711R
USC00169804        5797Q
USC00169806        5709S
USC00169809        5988R
USC00169930        6335R
USC00170100        5672R
USC00170177        4617R
USC00170200        3658R
USC00170217        5074Q
USC00170398        4663R
USC00170409        4783R
USC00170480        4787R
USC00170600        4459R
USC00170655        4977R
USC00170814        4263S
USC00170833        4195R
USC00171131        5067Q
USC00171472        3690R
USC00171628        4406S
USC00171833        4457R
USC00171975        4361S
USC00172048        4866R
USC00172238        4994S
USC00172426        4582R
USC00172602        4944R
USC00172620        4622R
USC00172623        4994Q
USC00172700        4022R
USC00172765        4811S
USC00172878        3906S
USC00173046        4618R
USC00173261        4484S
USC00173295        5022R
USC00173353        4502Q
USC00173417        4611R
USC00173567        4287S
USC00173570        5016R
USC00173588        3848S
USC00173862        5223R
USC00173944        4197R
USC00174086        4084S
USC00174183        5117R
USC00174193        5108R
USC00174324        4664S
USC00174566        4507S
USC00174683        4512Q
USC00174745        4610Q
USC00174781        4123S
USC00174817        4693R
USC00174878        5211S
USC00174927        4036S
USC00175261        3933S
USC00175304        4393S
USC00175347        4458Q
USC00175460        4036S
USC00175675        4819S
USC00175736        4719R
USC00176011        4839Q
USC00176060        4782Q
USC00176430        4039R
USC00176594        4503Q
USC00176705        4557R
USC00176707        4618Q
USC00176721        4353R
USC00176856        4756R
USC00176875        4082Q
USC00176881        4680R
USC00176937        3580S
USC00177037        4175S
USC00177039        4008R
USC00177174        4720R
USC00177238        5190R
USC00177325        4716R
USC00177479        5170R
USC00177654        4661R
USC00178353        4535R
USC00178792        4894Q
USC00178817        4745Q
USC00178965        3925S
USC00178974        4436R
USC00179151        4276R
USC00179294        5038R
USC00179314        4931S
USC00179538        4356R
USC00179547        5018Q
USC00179593        5347R
USC00179891        4658R
USC00180193        4727R
USC00180335        4411R
USC00180700        4184R
USC00180732        4791R
USC00181530        4727R
USC00181750        4411S
USC00181862        4337R
USC00181995        4373R
USC00182060        4745R
USC00182282        3736S
USC00182325        4566S
USC00182335        4390R
USC00182336        4636R
USC00182770        4405R
USC00182906        4371S
USC00183348        4101R
USC00183353        4428Q
USC00183415        4441S
USC00183675        4456R
USC00184030        3809R
USC00185080        4364R
USC00185111        4693R
USC00185832        5010R
USC00185865        4575S
USC00185894        4057R
USC00185934        4464R
USC00186350        4353R
USC00186620        4782R
USC00186770        4356R
USC00186800        4454Q
USC00187272        4138R
USC00187330        4482R
USC00187705        4026R
USC00187806        4676S
USC00188000        4589S
USC00188065        3976R
USC00188207        4206Q
USC00188371        4242Q
USC00188380        4611C
USC00189030        4183R
USC00189070        4324R
USC00189140        4412R
USC00189440        4340R
USC00189570        4059Q
USC00189750        4555R
USC00190120        4602S
USC00190190        4994S
USC00190192        4759Q
USC00190213        5173S
USC00190408        4689S
USC00190535        4882S
USC00190551        5539R
USC00190562        4775S
USC00190593        4739R
USC00190666        4706R
USC00190759        5296R
USC00190840        5106Q
USC00190860        4988S
USC00190998        4868R
USC00191386        4704S
USC00191436        5092R
USC00191611        5120R
USC00192107        4769R
USC00192451        5032S
USC00192501        4694S
USC00192997        5056S
USC00193052        4701R
USC00193213        4863R
USC00193229        4948Q
USC00193276        4992R
USC00193401        4951R
USC00193405        4720R
USC00193471        5055R
USC00193505        4996R
USC00193549        5134R
USC00193624        5223S
USC00193702        4470R
USC00193821        4331R
USC00193876        5152R
USC00193890        4969Q
USC00193985        4932R
USC00194075        4618R
USC00194105        5161Q
USC00194131        4757Q
USC00194313        4700R
USC00194502        4826R
USC00194580        4948S
USC00194711        5124R
USC00194744        4794S
USC00194760        4890R
USC00195175        4725S
USC00195246        5193R
USC00195285        4979S
USC00195306        5763R
USC00195524        4834S
USC00195984        5127S
USC00196245        4928R
USC00196435        4979R
USC00196486        5230S
USC00196783        5077S
USC00196938        5170S
USC00197627        5216R
USC00198278        4783S
USC00198367        4876R
USC00198573        4674R
USC00198757        4906S
USC00198793        4792S
USC00199193        4987Q
USC00199316        5005R
USC00199371        4770R
USC00199972        5297R
USC00200032        3642S
USC00200089        3306Q
USC00200094        3712R
USC00200106        3332Q
USC00200128        4114R
USC00200146        3323S
USC00200228        3591Q
USC00200230        3756S
USC00200342        3149Q
USC00200417        3296S
USC00200446        3456R
USC00200632        2973R
USC00200718        3977R
USC00200758        3557Q
USC00200770        3212Q
USC00200779        3660S
USC00200842        3601Q
USC00200864        3969S
USC00200925        3378S
USC00201238        3300Q
USC00201299        3336R
USC00201343        3294Q
USC00201361        3377S
USC00201435        3125Q
USC00201439        3277R
USC00201468        3219R
USC00201476        3374R
USC00201486        3334R
USC00201492        3084S
USC00201502        3301R
USC00201522        3295Q
USC00201675        3805R
USC00201802        2837R
USC00201818        3293Q
USC00201896        3008R
USC00202015        3387R
USC00202016        3462Q
USC00202094        3054S
USC00202140        3559R
USC00202250        4074S
USC00202308        3525Q
USC00202328        3264Q
USC00202381        3148S
USC00202395        3215R
USC00202423        3134S
USC00202427        3397Q
USC00202437        3441R
USC00202445        3755S
USC00202503        3361Q
USC00202631        3239R
USC00202691        3280Q
USC00202788        3435Q
USC00202804        3289Q
USC00202851        3167R
USC00202984        3496R
USC00203078        3092Q
USC00203096        3621R
USC00203099        3637R
USC00203188        3274Q
USC00203268        3140Q
USC00203278        3243Q
USC00203290        3273R
USC00203295        3711Q
USC00203306        3372R
USC00203391        3361R
USC00203429        3493S
USC00203477        3520R
USC00203504        3956R
USC00203529        3020R
USC00203585        3412R
USC00203628        3064R
USC00203632        3654R
USC00203639        3321Q
USC00203661        3742S
USC00203712        3374Q
USC00203744        3724S
USC00203769        3471R
USC00203823        3796R
USC00203858        3679R
USC00203930        3198Q
USC00203932        3076R
USC00203947        3194S
USC00203969        3507R
USC00204078        3558R
USC00204090        2972S
USC00204104        3493R
USC00204130        3002Q
USC00204257        3305S
USC00204258        3518Q
USC00204320        3791R
USC00204399        3436Q
USC00204502        3237S
USC00204655        3228R
USC00204659        3463Q
USC00204793        3397Q
USC00204808        3394Q
USC00204939        3393R
USC00204944        3875S
USC00204954        3620Q
USC00204967        3190Q
USC00205050        3429Q
USC00205065        3470R
USC00205073        3017Q
USC00205097        3508R
USC00205168        3062Q
USC00205406        3046Q
USC00205434        3194R
USC00205451        3481Q
USC00205452        3253Q
USC00205531        2706R
USC00205533        3144Q
USC00205558        3444R
USC00205567        3293R
USC00205591        3222Q
USC00205603        3849S
USC00205662        3234R
USC00205690        3845R
USC00205807        3337Q
USC00205822        3374Q
USC00205892        4097S
USC00206007        3226R
USC00206012        3065R
USC00206158        2838R
USC00206184        2993R
USC00206220        3312R
USC00206228        3851Q
USC00206300        3230R
USC00206442        3237Q
USC00206507        3196R
USC00206510        3296Q
USC00206583        3246Q
USC00206587        3231Q
USC00206658        3182R
USC00206662        3248Q
USC00206663        3299Q
USC00206680        3383R
USC00206982        3525Q
USC00207094        3001R
USC00207190        3287R
USC00207222        3324R
USC00207274        2792R
USC00207280        3301R
USC00207308        3445Q
USC00207312        3510Q
USC00207350        3191R
USC00207364        3455R
USC00207419        3135Q
USC00207684        3481Q
USC00207690        3725Q
USC00207742        3149R
USC00207812        2943S
USC00207820        3119R
USC00207867        2936R
USC00208043        3618Q
USC00208080        3569Q
USC00208184        3856S
USC00208202        3581Q
USC00208249        3430Q
USC00208293        3231R
USC00208345        3636Q
USC00208417        3104R
USC00208443        3432Q
USC00208468        3305R
USC00208680        3099R
USC00208706        3139Q
USC00208772        3582R
USC00208774        3558Q
USC00208779        3253Q
USC00208800        3137S
USC00208890        3670R
USC00208920        3225R
USC00208941        3424Q
USC00208972        3435Q
USC00209006        3274R
USC00209110        3469Q
USC00209188        3150R
USC00210018        2473R
USC00210050        2306R
USC00210059        2972R
USC00210075        3406S
USC00210146        3467Q
USC00210157        3144R
USC00210190        3163Q
USC00210252        2156S
USC00210287        2538S
USC00210355        3455Q
USC00210387        3016R
USC00210515        2344R
USC00210564        3129Q
USC00210643        2663Q
USC00210667        2832S
USC00210746        2655Q
USC00210809        2681Q
USC00210852        3285R
USC00210939        2838S
USC00210973        2520Q
USC00210981        3276R
USC00210989        2876S
USC00211063        2479R
USC00211065        3146Q
USC00211074        3281R
USC00211107        3002R
USC00211174        3387Q
USC00211198        3693R
USC00211245        2559R
USC00211250        2522Q
USC00211263        2710S
USC00211303        1984R
USC00211374        2680R
USC00211390        3341R
USC00211448        3116R
USC00211465        3185R
USC00211468        3273Q
USC00211630        3183S
USC00211669        3026R
USC00211691        3054S
USC00211771        2741Q
USC00211891        2212R
USC00212015        2560Q
USC00212023        2977Q
USC00212038        2309R
USC00212050        2769Q
USC00212088        3038Q
USC00212142        2746R
USC00212486        3400S
USC00212500        3186R
USC00212543        2983R
USC00212555        2849Q
USC00212576        2976Q
USC00212645        2761R
USC00212698        3271R
USC00212721        3263S
USC00212737        3130R
USC00212768        2506R
USC00212842        2818R
USC00212881        3205R
USC00212916        2547R
USC00213076        3151R
USC00213174        2571R
USC00213282        2460R
USC00213290        3542S
USC00213296        3118Q
USC00213303        2893S
USC00213311        2581R
USC00213411        2648R
USC00213417        2712R
USC00213455        2138R
USC00213520        3463S
USC00213567        3142R
USC00213793        3206S
USC00213808        3538Q
USC00213962        2838R
USC00214008        2576R
USC00214103        2635R
USC00214106        2789R
USC00214176        3095R
USC00214191        2820Q
USC00214233        2699Q
USC00214306        2446R
USC00214418        3549S
USC00214438        3173R
USC00214453        2867R
USC00214534        2882R
USC00214546        2794S
USC00214563        3650S
USC00214652        2594S
USC00214778        2930R
USC00214793        2657S
USC00214809        2621R
USC00214861        3034S
USC00214884        3281R
USC00214918        3357R
USC00214937        2950R
USC00214994        2485R
USC00215012        2496R
USC00215073        3230R
USC00215175        2930R
USC00215204        2828R
USC00215325        2839R
USC00215392        2946R
USC00215400        2614R
USC00215482        2622R
USC00215488        3329S
USC00215563        2861R
USC00215571        3368R
USC00215586        2502R
USC00215590        2996Q
USC00215598        3047S
USC00215615        2945R
USC00215638        2647S
USC00215838        3418R
USC00215842        3258S
USC00215887        3029R
USC00215902        2630Q
USC00216152        2743R
USC00216166        2752R
USC00216211        2864Q
USC00216225        2499Q
USC00216228        2349R
USC00216276        2668R
USC00216287        3361S
USC00216405        2592S
USC00216547        2840S
USC00216565        2760R
USC00216612        2765S
USC00216654        3558S
USC00216787        2447S
USC00216795        2454R
USC00216817        3343S
USC00216822        3050R
USC00216839        2872R
USC00216920        2967Q
USC00217011        3402Q
USC00217020        2949R
USC00217107        3497R
USC00217149        2520R
USC00217157        2824R
USC00217184        3482R
USC00217326        3050R
USC00217377        3345R
USC00217379        3187Q
USC00217405        3126R
USC00217460        2788R
USC00217502        3100S
USC00217907        2856S
USC00217917        3452Q
USC00217941        3564Q
USC00218025        2987R
USC00218037        3415R
USC00218039        3342Q
USC00218191        2639Q
USC00218227        3345R
USC00218307        2823Q
USC00218311        2772R
USC00218323        2823R
USC00218419        3111S
USC00218421        3225Q
USC00218429        2819R
USC00218450        3216R
USC00218477        3204R
USC00218520        2929R
USC00218552        3465S
USC00218579        2764S
USC00218618        2811R
USC00218679        2449R
USC00218692        3572S
USC00218700        2558Q
USC00218808        3185R
USC00218907        2494R
USC00218947        2441Q
USC00218986        3249Q
USC00219004        2946S
USC00219033        3062R
USC00219046        3272S
USC00219059        2725S
USC00219067        3512R
USC00219072        3258S
USC00219085        3086R
USC00219101        2912R
USC00219134        3177R
USC00219170        2919S
USC00219173        3014R
USC00219208        3144R
USC00219231        3430Q
USC00219249        3397S
USC00220008        5816S
USC00220021        5407S
USC00220039        5407R
USC00220173        5459R
USC00220218        6325Q
USC00220237        5521S
USC00220290        5707S
USC00220378        5708R
USC00220488        5472R
USC00220521        6257R
USC00220523        5855Q
USC00220585        6065R
USC00220660        5622R
USC00220792        6483R
USC00220955        5726S
USC00221094        6051S
USC00221111        5349R
USC00221152        5719S
USC00221174        5984S
USC00221262        5620R
USC00221314        5531R
USC00221389        5460R
USC00221489        5469S
USC00221578        6218R
USC00221606        5682R
USC00221707        5348R
USC00221738        5475R
USC00221743        5204R
USC00221804        5863S
USC00221852        5896R
USC00221860        5736S
USC00221865        6099S
USC00221880        5559S
USC00221962        5669R
USC00222034        6068R
USC00222046        5562R
USC00222094        6049R
USC00222385        5647S
USC00222658        5375R
USC00222773        5348S
USC00222896        5572R
USC00223107        5894R
USC00223208        5980S
USC00223340        5649S
USC00223605        5241R
USC00223645        5921R
USC00223650        5537Q
USC00223671        6572R
USC00223700        5721S
USC00223887        6159S
USC00223920        5823S
USC00223975        5449R
USC00224001        5872R
USC00224173        5748S
USC00224265        5841R
USC00224377        5301S
USC00224455        6017R
USC00224702        5361R
USC00224776        5993S
USC00224816        5800R
USC00224842        5022R
USC00224869        5499R
USC00224939        5662S
USC00224966        6341S
USC00225020        5361Q
USC00225062        5519R
USC00225247        5763R
USC00225361        5521R
USC00225611        6623R
USC00225704        5995R
USC00225897        5965R
USC00225943        5683S
USC00225987        6064S
USC00226009        5445S
USC00226084        5464S
USC00226177        6104S
USC00226256        5616S
USC00226294        5456R
USC00226308        5584S
USC00226476        5730R
USC00226484        6333R
USC00226513        5614Q
USC00226527        5613Q
USC00226638        5913Q
USC00226640        5837Q
USC00226642        5961Q
USC00226643        5821Q
USC00226644        5797Q
USC00226718        6497R
USC00226750        5556R
USC00226811        5900R
USC00226894        5639S
USC00226921        6308R
USC00227066        5539R
USC00227106        5871S
USC00227111        5836S
USC00227128        6139S
USC00227132        5720S
USC00227172        5912R
USC00227220        5953S
USC00227276        5970Q
USC00227444        5649R
USC00227467        5708R
USC00227537        5790R
USC00227560        5487R
USC00227595        5360Q
USC00227807        5606S
USC00227815        5730S
USC00227831        5808Q
USC00227840        6888S
USC00227921        5591S
USC00228053        5666S
USC00228145        5567R
USC00228374        5522S
USC00228413        6262R
USC00228445        5248S
USC00228556        6008S
USC00228899        5947Q
USC00228998        5380R
USC00229004        5639Q
USC00229006        5409R
USC00229048        6380S
USC00229072        5951R
USC00229079        5919R
USC00229114        5773S
USC00229157        7255R
USC00229173        5754R
USC00229216        5609R
USC00229230        5844Q
USC00229326        5923S
USC00229400        5768R
USC00229426        6471S
USC00229439        5686R
USC00229597        5639S
USC00229639        6294R
USC00229743        5714S
USC00229793        6491R
USC00229860        5834S
USC00230051        3811Q
USC00230088        4718R
USC00230127        4511R
USC00230143        3812S
USC00230163        4646Q
USC00230164        4367S
USC00230204        4350S
USC00230224        4726R
USC00230304        4352R
USC00230368        4432Q
USC00230539        4631R
USC00230542        4527Q
USC00230595        4706R
USC00230608        3821R
USC00230657        4451R
USC00230735        4792R
USC00230789        4722S
USC00230817        4470R
USC00230856        4035R
USC00230980        4242S
USC00231037        4041R
USC00231087        4475R
USC00231145        4399S
USC00231189        4370R
USC00231212        4713R
USC00231216        3873Q
USC00231275        3945R
USC00231304        4485R
USC00231340        4223S
USC00231356        4480R
USC00231364        5158R
USC00231383        4695R
USC00231467        5226R
USC00231482        4130R
USC00231540        4586R
USC00231580        4088R
USC00231600        4143Q
USC00231640        3867R
USC00231674        4755R
USC00231704        4207R
USC00231711        4501R
USC00231748        4489Q
USC00231773        4025S
USC00231801        4628R
USC00231822        3736R
USC00231837        4298S
USC00232071        4672Q
USC00232220        4283R
USC00232240        4638R
USC00232289        4965S
USC00232302        4462R
USC00232318        4127R
USC00232482        4152S
USC00232503        4379R
USC00232511        4663R
USC00232568        4250R
USC00232591        4077S
USC00232619        4527R
USC00232809        4466R
USC00232850        4259R
USC00232941        4645Q
USC00233038        4577C
USC00233043        4443R
USC00233079        4505S
USC00233094        4627R
USC00233102        4040R
USC00233162        4532Q
USC00233262        4762Q
USC00233329        3900R
USC00233369        3602R
USC00233451        4798R
USC00233483        4309R
USC00233568        3900S
USC00233601        4139S
USC00233793        4453R
USC00233838        4193R
USC00233999        5062Q
USC00234019        4492R
USC00234023        4491S
USC00234136        4492R
USC00234154        4367R
USC00234226        4956R
USC00234271        4310S
USC00234382        4115R
USC00234417        4914R
USC00234505        3866R
USC00234544        4067R
USC00234637        3747R
USC00234660        4795Q
USC00234694        4324R
USC00234705        5120R
USC00234825        4532R
USC00234850        4334R
USC00234904        4222R
USC00234919        4651S
USC00234982        4163Q
USC00235027        4775S
USC00235050        4205R
USC00235098        3708S
USC00235130        3907Q
USC00235207        4508R
USC00235227        4545R
USC00235253        5041S
USC00235307        4476S
USC00235340        3725R
USC00235492        3581R
USC00235541        4432R
USC00235578        4069S
USC00235594        4695Q
USC00235671        4322R
USC00235704        4585R
USC00235708        4122Q
USC00235715        4601Q
USC00235784        4698Q
USC00235834        4598S
USC00235862        4627R
USC00235916        4104Q
USC00235976        4773R
USC00235987        4645S
USC00236012        4199S
USC00236045        4917S
USC00236269        4006R
USC00236302        4718R
USC00236357        3448R
USC00236402        4355S
USC00236452        4456R
USC00236460        4369S
USC00236468        4292R
USC00236493        3836S
USC00236563        3745S
USC00236641        4413R
USC00236678        4504S
USC00236739        4032R
USC00236745        4291R
USC00236749        4578Q
USC00236760        4313R
USC00236775        4065R
USC00236777        4468Q
USC00236791        4797R
USC00236804        4684S
USC00236826        4394R
USC00236834        4602Q
USC00236866        3740R
USC00236970        4244R
USC00237094        4809Q
USC00237105        4250R
USC00237114        4182R
USC00237116        4338Q
USC00237263        4822C
USC00237300        4579R
USC00237309        4623R
USC00237397        4311R
USC00237398        4114R
USC00237452        4303Q
USC00237475        4130R
USC00237506        4717R
USC00237514        4201R
USC00237578        3800R
USC00237632        4430S
USC00237645        4737R
USC00237720        4165R
USC00237772        4928R
USC00237862        3997Q
USC00237963        3891S
USC00238003        3586Q
USC00238051        3831S
USC00238082        4593R
USC00238171        4467R
USC00238188        4069R
USC00238223        4314S
USC00238313        4435S
USC00238444        3989R
USC00238466        4305R
USC00238515        4493S
USC00238523        4076R
USC00238524        4391R
USC00238542        4125Q
USC00238561        4574S
USC00238577        4216R
USC00238583        4226Q
USC00238603        4472R
USC00238620        4547S
USC00238664        4547R
USC00238700        4862Q
USC00238712        4294Q
USC00238725        4167Q
USC00238746        4347R
USC00238754        4379R
USC00238768        4051Q
USC00238777        4652R
USC00238805        4413R
USC00238880        4722R
USC00238910        4780R
USC00238984        4845S
USC00240075        1829Q
USC00240088        1494R
USC00240110        1381R
USC00240115        1301R
USC00240199        1467S
USC00240364        1378R
USC00240375        1675R
USC00240392        1695R
USC00240412        1388S
USC00240432        1400R
USC00240554        1199Q
USC00240636        1405R
